iter	Passed	Remaining
0	1	193
1	3	177
2	6	200
3	7	185
4	9	184
5	11	180
6	22	293
7	33	387
8	38	386
9	42	380
10	44	362
11	47	349
12	50	339
13	54	333
14	57	324
15	59	314
16	63	308
17	64	293
18	65	280
19	66	267
20	68	256
21	69	245
22	70	236
23	71	227
24	73	219
25	74	211
26	75	203
27	76	196
28	77	190
29	79	184
30	80	178
31	81	173
32	82	168
33	83	162
34	85	158
35	86	153
36	87	149
37	89	145
38	90	142
39	92	138
40	93	134
41	94	129
42	95	126
43	96	123
44	98	119
45	99	116
46	100	113
47	101	110
48	103	107
49	104	104
50	105	101
51	106	98
52	108	95
53	109	93
54	110	90
55	111	87
56	112	84
57	113	82
58	115	80
59	116	77
60	117	75
61	118	72
62	119	70
63	120	68
64	122	65
65	123	63
66	124	61
67	125	59
68	126	57
69	128	54
70	129	52
71	130	50
72	131	48
73	133	46
74	134	44
75	135	42
76	136	40
77	137	38
78	138	36
79	140	35
80	141	33
81	142	31
82	143	29
83	145	27
84	146	25
85	148	24
86	149	22
87	150	20
88	152	18
89	154	17
90	156	15
91	157	13
92	159	12
93	160	10
94	162	8
95	163	6
96	164	5
97	165	3
98	167	1
99	168	0
