iter	Passed	Remaining
0	2	2120
1	3	1827
2	5	1725
3	6	1669
4	8	1689
5	13	2224
6	15	2141
7	16	2083
8	18	2092
9	20	2032
10	21	1967
11	23	1912
12	28	2142
13	29	2106
14	31	2057
15	32	2013
16	34	1974
17	35	1960
18	37	1931
19	38	1901
20	42	1992
21	44	1978
22	46	1961
23	47	1949
24	49	1927
25	51	1922
26	60	2198
27	65	2281
28	67	2269
29	77	2520
30	80	2508
31	83	2511
32	92	2699
33	101	2885
34	103	2857
35	112	3019
36	115	2998
37	125	3186
38	131	3230
39	133	3197
40	139	3273
41	143	3267
42	144	3222
43	146	3177
44	148	3155
45	160	3327
46	164	3338
47	167	3318
48	174	3380
49	177	3366
50	179	3331
51	191	3484
52	193	3449
53	194	3411
54	208	3583
55	211	3567
56	222	3678
57	227	3688
58	233	3731
59	236	3698
60	237	3659
61	240	3634
62	241	3594
63	250	3663
64	253	3653
65	256	3629
66	258	3593
67	261	3578
68	268	3626
69	270	3597
70	272	3563
71	274	3534
72	287	3646
73	288	3615
74	298	3683
75	300	3654
76	302	3623
77	304	3604
78	316	3692
79	321	3700
80	329	3734
81	331	3710
82	332	3671
83	334	3650
84	336	3618
85	346	3683
86	348	3658
87	351	3645
88	355	3642
89	357	3618
90	366	3665
91	380	3758
92	382	3731
93	384	3707
94	387	3690
95	397	3739
96	398	3713
97	401	3695
98	403	3669
99	430	3877
100	433	3857
101	435	3835
102	437	3811
103	447	3856
104	455	3882
105	457	3857
106	461	3852
107	463	3827
108	465	3803
109	468	3786
110	474	3801
111	518	4114
112	521	4092
113	594	4619
114	596	4590
115	600	4574
116	602	4543
117	603	4513
118	607	4498
119	614	4506
120	617	4486
121	637	4588
122	648	4625
123	652	4611
124	719	5035
125	732	5080
126	734	5050
127	736	5019
128	738	4986
129	743	4978
130	749	4969
131	757	4981
132	760	4959
133	763	4931
134	765	4904
135	769	4886
136	781	4924
137	789	4930
138	792	4911
139	797	4900
140	800	4874
141	805	4866
142	807	4837
143	813	4833
144	819	4833
145	821	4805
146	823	4776
147	831	4789
148	833	4761
149	835	4734
150	837	4707
151	839	4681
152	844	4672
153	845	4647
154	847	4621
155	849	4596
156	891	4785
157	896	4775
158	898	4751
